Phoenix Suns,PHX,PG,60.2,84.4,86.9,44.8,13.6,11.4,3.0,0.6,5.8,46.0,80.0,4.0,1
Memphis Grizzlies,MEM,PG,52.5,74.1,70.4,38.6,10.0,10.0,5.0,0.6,2.6,49.0,87.0,6.4,2
Miami Heat,MIA,PG,52.1,70.8,63.1,36.8,8.2,11.4,3.0,1.0,2.8,48.0,91.0,2.6,3
Los Angeles Lakers,LAL,PG,57.8,69.3,62.5,36.8,9.4,11.2,2.8,0.2,2.6,48.0,54.0,4.6,4
Los Angeles Clippers,LAC,PG,55.3,67.3,67.8,35.5,9.7,10.2,2.3,1.2,5.2,42.0,81.0,5.7,5
Sacramento Kings,SAC,PG,54.4,66.8,66.3,34.7,9.7,11.5,2.5,0.2,4.2,47.0,68.0,5.5,6
Charlotte Hornets,CHA,PG,53.1,66.7,46.5,34.4,7.0,11.8,2.8,1.0,3.6,47.0,72.0,3.6,7
Cleveland Cavaliers,CLE,PG,54.4,66.6,72.3,27.0,8.2,14.6,3.4,0.6,2.4,42.0,65.0,2.4,8
Chicago Bulls,CHI,PG,58.1,66.5,54.0,38.4,9.2,10.4,1.4,0.2,4.2,45.0,87.0,4.4,9
San Antonio Spurs,SAS,PG,49.5,66.5,56.0,38.8,6.4,10.0,2.0,1.2,4.2,46.0,83.0,4.0,10
Golden State Warriors,GSW,PG,54.7,66.4,64.1,36.0,8.8,10.2,2.8,0.2,3.0,45.0,83.0,4.4,11
Orlando Magic,ORL,PG,57.5,65.3,58.4,33.0,9.2,10.8,2.4,0.6,3.6,46.0,78.0,4.6,12
Brooklyn Nets,BKN,PG,57.4,64.9,51.9,37.8,9.8,7.8,1.6,0.8,4.6,52.0,83.0,3.8,13
Utah Jazz,UTA,PG,49.0,63.8,54.8,35.4,7.2,11.2,2.0,0.8,3.2,43.0,67.0,6.0,14
Denver Nuggets,DEN,PG,55.2,61.8,69.6,26.0,10.0,12.0,2.6,0.8,3.4,43.0,73.0,3.6,15
Detroit Pistons,DET,PG,53.8,60.6,59.2,31.6,7.6,10.8,2.2,0.8,3.4,40.0,95.0,6.0,16
Houston Rockets,HOU,PG,58.7,59.2,51.9,30.8,10.0,9.2,1.8,0.4,3.0,44.0,81.0,4.6,17
Oklahoma City Thunder,OKC,PG,50.9,58.1,50.8,24.6,8.8,11.4,2.6,0.8,3.0,38.0,80.0,4.0,18
New York Knicks,NYK,PG,56.1,57.5,61.5,26.0,8.8,10.2,2.4,0.8,3.0,37.0,85.0,4.2,19
New Orleans Pelicans,NOP,PG,61.4,57.3,66.7,28.4,6.6,11.6,2.0,0.4,3.0,43.0,91.0,5.6,20
Washington Wizards,WAS,PG,53.3,57.0,57.8,26.2,9.0,9.2,3.4,0.8,2.6,45.0,75.0,6.0,21
Boston Celtics,BOS,PG,51.0,56.4,58.6,28.4,7.6,11.2,1.6,0.2,3.4,36.0,75.0,3.8,22
Philadelphia 76ers,PHI,PG,57.0,56.3,60.5,27.6,8.2,8.2,3.2,0.8,2.8,42.0,85.0,3.8,23
Minnesota Timberwolves,MIN,PG,57.0,54.8,65.1,24.8,6.4,12.8,1.4,1.0,2.4,42.0,86.0,4.6,24
Indiana Pacers,IND,PG,51.9,54.7,60.2,28.4,7.8,9.2,2.0,0.4,3.6,48.0,84.0,4.8,25
Portland Trail Blazers,POR,PG,50.5,52.7,57.5,28.0,6.6,8.0,2.2,0.6,3.8,38.0,69.0,2.4,26
Toronto Raptors,TOR,PG,49.0,51.5,57.4,29.0,6.2,8.2,1.6,0.6,2.8,50.0,78.0,4.4,27
Atlanta Hawks,ATL,PG,53.8,44.8,57.6,26.0,3.8,7.6,2.0,0.2,4.2,43.0,59.0,3.6,28
Dallas Mavericks,DAL,PG,52.3,43.7,56.5,21.0,4.8,8.2,3.2,0.2,2.2,41.0,63.0,4.8,29
Milwaukee Bucks,MIL,PG,52.3,36.7,41.7,13.7,4.7,9.8,2.0,0.2,1.2,41.0,53.0,3.8,30
Philadelphia 76ers,PHI,SG,73.8,102.9,74.7,54.2,17.6,11.0,4.4,2.0,7.4,42.0,85.0,5.2,1
Oklahoma City Thunder,OKC,SG,71.5,100.8,78.1,52.6,15.0,15.0,3.2,1.8,7.0,47.0,79.0,7.4,2
New York Knicks,NYK,SG,75.0,98.6,97.2,48.8,16.4,13.4,4.0,1.8,6.8,42.0,76.0,6.6,3
Orlando Magic,ORL,SG,80.3,97.5,89.4,52.8,15.2,11.2,4.0,1.6,4.8,48.0,81.0,6.4,4
Chicago Bulls,CHI,SG,73.0,97.1,81.3,54.5,16.3,12.3,3.2,0.2,6.3,57.0,72.0,6.0,5
Cleveland Cavaliers,CLE,SG,76.6,96.6,84.2,52.4,17.0,9.8,3.6,1.8,5.0,46.0,68.0,5.8,6
Phoenix Suns,PHX,SG,79.1,93.6,105.6,49.4,16.2,10.6,3.6,1.4,7.2,45.0,89.0,4.6,7
Houston Rockets,HOU,SG,74.0,91.7,80.3,47.2,16.0,13.2,2.6,1.2,7.2,42.0,86.0,5.8,8
Charlotte Hornets,CHA,SG,73.2,91.3,82.3,57.2,11.0,11.2,2.2,1.2,7.6,51.0,96.0,6.6,9
Dallas Mavericks,DAL,SG,65.7,89.7,86.9,46.0,14.0,11.4,4.8,1.8,7.0,44.0,90.0,8.2,10
New Orleans Pelicans,NOP,SG,78.1,88.1,84.0,51.4,10.2,11.2,4.0,1.0,5.8,48.0,93.0,5.8,11
Detroit Pistons,DET,SG,67.8,87.0,76.5,44.2,12.4,13.4,3.4,1.6,7.2,42.0,89.0,6.2,12
Los Angeles Lakers,LAL,SG,74.5,82.6,70.0,46.8,11.0,9.8,3.0,1.6,6.4,40.0,65.0,4.4,13
Utah Jazz,UTA,SG,62.3,82.4,81.2,45.2,11.4,7.8,5.2,1.8,3.6,46.0,77.0,5.4,14
Boston Celtics,BOS,SG,66.7,81.5,82.9,42.4,11.2,13.0,3.4,0.4,5.4,35.0,87.0,4.0,15
Portland Trail Blazers,POR,SG,64.7,79.5,75.3,43.5,12.0,9.7,2.7,1.5,6.8,35.0,46.0,3.7,16
Milwaukee Bucks,MIL,SG,64.4,77.6,67.5,37.8,12.6,12.6,3.4,0.4,3.0,40.0,75.0,5.0,17
San Antonio Spurs,SAS,SG,68.3,75.3,68.3,41.8,12.0,7.2,3.0,1.8,6.2,39.0,80.0,4.4,18
Atlanta Hawks,ATL,SG,72.7,75.2,69.1,42.2,12.2,8.4,2.6,1.2,5.2,43.0,82.0,6.8,19
Indiana Pacers,IND,SG,71.9,74.9,73.8,42.2,12.4,8.0,3.6,0.6,5.8,46.0,78.0,6.4,20
Toronto Raptors,TOR,SG,70.7,74.6,76.0,41.6,13.6,8.4,2.4,0.8,4.2,41.0,73.0,6.0,21
Golden State Warriors,GSW,SG,69.6,72.8,71.8,41.2,10.6,7.0,4.6,0.2,6.4,43.0,85.0,3.6,22
Memphis Grizzlies,MEM,SG,73.0,71.9,72.7,38.2,9.6,9.4,4.2,0.8,3.4,42.0,83.0,4.8,23
Sacramento Kings,SAC,SG,67.8,71.2,79.9,41.7,9.5,10.0,2.2,0.2,6.2,53.0,57.0,4.0,24
Denver Nuggets,DEN,SG,71.7,70.5,75.3,35.4,10.8,8.6,3.4,1.6,5.0,45.0,66.0,2.6,25
Brooklyn Nets,BKN,SG,71.9,70.4,64.3,40.3,11.8,6.5,2.0,1.3,4.8,38.0,57.0,3.3,26
Los Angeles Clippers,LAC,SG,72.3,70.0,68.8,38.0,9.8,8.7,2.8,1.8,5.5,42.0,77.0,5.2,27
Miami Heat,MIA,SG,71.9,65.9,65.2,39.0,9.8,6.4,2.2,1.2,4.4,47.0,74.0,3.4,28
Minnesota Timberwolves,MIN,SG,65.7,63.4,80.7,33.8,10.0,8.3,2.3,1.2,5.2,33.0,68.0,4.8,29
Washington Wizards,WAS,SG,68.4,62.0,59.5,35.0,9.0,7.4,3.2,0.4,4.8,41.0,90.0,5.2,30
Cleveland Cavaliers,CLE,SF,79.5,95.0,92.1,53.0,18.8,7.6,2.6,2.0,6.0,50.0,70.0,4.8,1
Denver Nuggets,DEN,SF,67.8,92.2,76.1,51.6,15.4,9.4,1.8,2.4,5.4,54.0,73.0,2.4,2
Golden State Warriors,GSW,SF,70.7,91.7,83.6,51.4,15.6,6.6,5.0,1.2,7.6,47.0,74.0,3.6,3
Detroit Pistons,DET,SF,78.4,90.1,97.6,46.0,16.2,10.6,3.4,1.6,7.6,45.0,86.0,4.8,4
Washington Wizards,WAS,SF,75.4,89.8,78.4,49.8,15.8,8.4,4.0,1.8,6.6,46.0,81.0,8.0,5
Chicago Bulls,CHI,SF,74.5,88.4,85.9,47.2,17.8,9.0,2.8,1.4,4.8,51.0,81.0,5.8,6
Dallas Mavericks,DAL,SF,67.8,88.3,72.5,45.2,15.2,8.2,3.8,3.2,6.0,47.0,77.0,5.0,7
Houston Rockets,HOU,SF,72.0,86.8,79.3,44.8,15.6,11.6,2.2,1.6,7.4,41.0,97.0,5.0,8
New Orleans Pelicans,NOP,SF,70.4,86.3,74.2,47.6,15.8,8.4,3.4,0.8,5.0,48.0,93.0,4.6,9
Philadelphia 76ers,PHI,SF,65.8,85.4,68.3,42.6,16.8,8.0,3.2,2.4,5.0,43.0,91.0,3.4,10
New York Knicks,NYK,SF,71.4,84.1,75.0,47.4,16.0,6.8,2.6,1.6,4.6,45.0,64.0,5.0,11
Milwaukee Bucks,MIL,SF,71.4,83.9,78.2,43.8,17.0,8.6,2.8,1.6,3.2,40.0,79.0,5.6,12
Los Angeles Lakers,LAL,SF,71.9,82.3,83.4,43.4,16.0,6.0,3.2,2.8,5.6,43.0,75.0,5.4,13
Minnesota Timberwolves,MIN,SF,62.3,82.1,73.2,44.4,14.4,9.8,2.2,1.2,6.6,41.0,61.0,6.0,14
Phoenix Suns,PHX,SF,70.1,79.6,71.7,40.2,16.4,7.2,3.6,1.2,5.2,43.0,74.0,3.0,15
Miami Heat,MIA,SF,72.6,79.6,73.7,44.6,15.6,6.2,3.0,1.0,5.2,47.0,81.0,4.2,16
Indiana Pacers,IND,SF,71.0,77.7,83.1,37.4,17.2,7.4,4.0,0.6,4.4,43.0,49.0,4.2,17
Atlanta Hawks,ATL,SF,76.4,77.7,70.3,39.0,15.4,7.8,3.4,1.2,3.0,45.0,86.0,4.8,18
Brooklyn Nets,BKN,SF,71.7,76.7,78.1,40.4,13.2,7.6,3.0,1.8,4.0,52.0,63.0,3.0,19
Orlando Magic,ORL,SF,72.5,76.0,86.2,42.6,14.0,6.2,3.4,1.0,3.4,45.0,73.0,5.0,20
Boston Celtics,BOS,SF,68.6,75.7,73.8,39.8,15.4,7.4,2.6,0.8,6.2,40.0,87.0,2.6,21
Oklahoma City Thunder,OKC,SF,67.7,73.1,77.4,38.6,15.0,6.0,1.4,3.2,3.8,52.0,76.0,5.0,22
Charlotte Hornets,CHA,SF,72.0,70.5,79.9,41.4,10.8,7.6,2.2,1.0,4.0,54.0,93.0,4.4,23
San Antonio Spurs,SAS,SF,65.4,67.5,72.4,34.2,14.0,4.8,4.0,1.4,4.8,41.0,83.0,4.4,24
Portland Trail Blazers,POR,SF,65.8,65.5,63.5,34.8,11.5,7.7,2.2,1.0,5.7,37.0,61.0,3.0,25
Toronto Raptors,TOR,SF,63.5,62.9,59.3,31.2,16.4,6.2,1.6,0.4,3.2,37.0,75.0,4.8,26
Memphis Grizzlies,MEM,SF,65.0,58.6,63.8,33.8,8.0,6.0,3.0,0.6,3.6,41.0,81.0,2.8,27
Sacramento Kings,SAC,SF,66.8,58.0,74.4,31.6,10.2,6.8,2.6,0.2,4.8,51.0,67.0,4.4,28
Utah Jazz,UTA,SF,68.0,56.5,60.4,27.4,8.8,5.2,4.6,1.0,2.6,42.0,83.0,1.8,29
Los Angeles Clippers,LAC,SF,71.7,52.0,69.3,26.4,9.4,5.4,1.8,2.0,4.6,40.0,83.0,4.4,30
Minnesota Timberwolves,MIN,PF,67.4,100.4,83.3,49.4,24.0,8.0,2.4,2.6,4.0,56.0,69.0,5.6,1
Sacramento Kings,SAC,PF,68.8,86.2,67.1,41.4,21.8,8.0,1.6,2.0,4.6,48.0,81.0,5.2,2
New York Knicks,NYK,PF,63.7,85.3,75.6,44.2,20.0,5.2,3.0,2.0,3.2,52.0,73.0,5.2,3
Detroit Pistons,DET,PF,71.0,85.1,85.9,37.8,24.2,7.8,1.8,1.6,3.6,44.0,55.0,4.2,4
Oklahoma City Thunder,OKC,PF,61.2,82.2,71.1,41.8,18.4,5.2,2.2,4.0,2.8,46.0,70.0,6.2,5
Philadelphia 76ers,PHI,PF,64.3,77.1,58.0,35.0,17.0,8.0,2.4,2.6,2.2,51.0,78.0,4.2,6
Portland Trail Blazers,POR,PF,65.1,74.8,77.6,36.0,18.4,7.6,1.2,1.6,4.2,46.0,61.0,3.0,7
Miami Heat,MIA,PF,58.5,73.7,49.6,34.6,17.4,6.8,3.0,1.6,4.4,43.0,68.0,5.4,8
Milwaukee Bucks,MIL,PF,60.6,73.0,67.2,35.3,20.2,4.0,1.2,3.0,1.7,56.0,71.0,4.7,9
Los Angeles Lakers,LAL,PF,66.8,72.2,66.1,32.4,18.8,5.2,2.6,2.4,2.8,46.0,64.0,3.6,10
Phoenix Suns,PHX,PF,63.0,69.6,62.2,30.0,21.4,4.8,1.6,1.6,2.0,41.0,68.0,3.4,11
Atlanta Hawks,ATL,PF,66.3,69.3,58.5,29.8,15.5,6.0,3.8,2.3,1.0,46.0,47.0,3.5,12
Chicago Bulls,CHI,PF,75.6,69.2,86.3,31.6,17.4,5.6,1.6,3.0,2.6,47.0,59.0,3.6,13
Los Angeles Clippers,LAC,PF,67.1,68.6,71.3,30.4,20.8,4.8,1.4,1.8,2.2,44.0,78.0,4.6,14
Orlando Magic,ORL,PF,64.7,68.3,71.6,38.2,15.0,4.8,1.8,1.0,2.4,51.0,74.0,4.2,15
Dallas Mavericks,DAL,PF,63.7,67.6,60.7,31.6,14.2,6.8,2.4,2.4,3.0,49.0,58.0,4.4,16
Utah Jazz,UTA,PF,59.4,65.9,56.7,29.6,15.2,7.0,2.8,1.8,1.8,41.0,80.0,5.4,17
Houston Rockets,HOU,PF,59.7,64.3,74.9,31.4,13.8,6.0,2.4,1.8,3.4,49.0,95.0,3.6,18
Washington Wizards,WAS,PF,60.1,63.8,55.3,34.2,15.2,4.4,1.8,1.8,3.4,47.0,76.0,6.4,19
Toronto Raptors,TOR,PF,62.4,63.5,62.3,31.0,16.6,4.8,1.8,1.4,2.0,46.0,82.0,4.4,20
Cleveland Cavaliers,CLE,PF,67.1,63.2,64.9,29.8,16.0,5.0,2.0,1.6,3.0,50.0,80.0,2.6,21
Boston Celtics,BOS,PF,65.3,62.8,66.2,28.7,18.3,3.2,1.2,3.0,2.7,53.0,52.0,4.2,22
Brooklyn Nets,BKN,PF,71.3,60.8,59.3,28.6,13.8,5.8,2.4,1.6,2.4,48.0,61.0,4.0,23
Golden State Warriors,GSW,PF,61.0,60.5,65.4,26.8,15.0,5.2,2.6,1.4,2.4,47.0,57.0,3.4,24
Denver Nuggets,DEN,PF,64.4,60.5,60.3,32.3,10.8,7.0,0.7,2.2,2.3,44.0,47.0,3.0,25
Memphis Grizzlies,MEM,PF,68.0,59.9,66.3,28.0,12.8,4.2,2.8,2.2,2.2,51.0,55.0,2.0,26
Charlotte Hornets,CHA,PF,67.7,58.7,71.7,30.0,11.4,5.0,2.6,1.2,2.6,58.0,79.0,2.0,27
San Antonio Spurs,SAS,PF,57.6,46.1,58.9,21.6,12.4,3.2,2.2,0.6,2.4,42.0,68.0,2.8,28
New Orleans Pelicans,NOP,PF,64.4,45.6,45.1,21.8,13.5,2.8,1.0,0.5,1.8,53.0,46.0,2.2,29
Indiana Pacers,IND,PF,64.6,39.4,66.4,18.7,10.5,4.5,0.8,0.2,2.0,45.0,31.0,2.8,30
Portland Trail Blazers,POR,C,54.4,81.6,70.5,33.2,24.6,6.6,1.0,3.6,1.8,50.0,74.0,4.2,1
Brooklyn Nets,BKN,C,66.1,79.2,67.4,36.6,21.6,4.4,1.8,2.8,1.4,50.0,64.0,3.4,2
Cleveland Cavaliers,CLE,C,56.6,75.0,63.3,34.4,20.4,4.8,2.0,2.8,2.4,60.0,65.0,4.6,3
Atlanta Hawks,ATL,C,55.7,74.6,63.5,31.8,17.8,7.2,3.0,2.5,1.0,52.0,68.0,4.5,4
Memphis Grizzlies,MEM,C,55.9,73.7,63.5,29.2,21.4,4.4,3.0,3.0,1.4,53.0,66.0,4.2,5
New Orleans Pelicans,NOP,C,62.7,71.8,61.4,32.3,22.2,3.7,1.2,1.7,2.0,57.0,70.0,2.3,6
Phoenix Suns,PHX,C,57.7,69.4,62.6,28.4,20.0,4.6,1.4,3.6,1.4,54.0,62.0,4.2,7
Miami Heat,MIA,C,49.2,68.8,57.7,27.6,18.8,5.4,2.6,3.2,1.6,49.0,76.0,5.8,8
Dallas Mavericks,DAL,C,60.9,68.6,65.3,25.4,21.4,6.6,1.6,2.2,1.2,54.0,31.0,5.2,9
Los Angeles Clippers,LAC,C,61.2,68.2,68.9,27.2,21.2,5.0,1.5,2.2,0.7,48.0,66.0,3.5,10
Utah Jazz,UTA,C,51.8,66.2,63.0,29.0,15.6,5.6,2.4,3.4,1.6,47.0,67.0,5.2,11
Charlotte Hornets,CHA,C,57.5,64.1,70.3,28.8,16.8,5.6,1.6,1.8,3.0,58.0,92.0,3.6,12
Minnesota Timberwolves,MIN,C,56.7,63.7,54.6,33.2,17.0,2.4,1.6,1.8,1.6,57.0,85.0,3.0,13
Toronto Raptors,TOR,C,57.1,62.7,68.8,30.2,16.6,4.8,1.2,1.8,0.6,55.0,84.0,3.6,14
Milwaukee Bucks,MIL,C,54.6,62.5,54.9,30.2,18.0,3.2,0.8,2.2,0.7,62.0,68.0,3.3,15
Oklahoma City Thunder,OKC,C,53.7,62.2,49.0,30.0,12.4,6.8,1.6,2.4,2.0,51.0,64.0,5.4,16
Washington Wizards,WAS,C,51.5,62.2,59.2,32.0,15.8,4.4,1.2,1.6,2.2,55.0,72.0,4.8,17
Golden State Warriors,GSW,C,50.0,60.5,56.7,24.6,17.2,3.8,3.8,1.0,1.2,52.0,60.0,3.6,18
Detroit Pistons,DET,C,55.5,59.9,48.8,25.4,18.8,4.0,0.6,2.2,1.2,46.0,60.0,2.4,19
San Antonio Spurs,SAS,C,53.8,59.7,59.7,24.0,16.8,5.6,1.6,2.2,1.4,50.0,44.0,3.8,20
Los Angeles Lakers,LAL,C,59.9,58.8,53.4,25.2,16.2,4.2,2.0,2.2,1.8,52.0,74.0,3.2,21
Sacramento Kings,SAC,C,58.9,58.7,54.9,23.2,17.7,4.8,1.3,2.2,1.2,39.0,71.0,3.2,22
Indiana Pacers,IND,C,56.2,58.0,52.1,28.7,16.2,5.0,1.2,0.5,1.5,56.0,59.0,4.8,23
New York Knicks,NYK,C,54.7,57.5,55.8,21.6,18.8,4.0,2.0,2.0,1.8,49.0,68.0,3.8,24
Chicago Bulls,CHI,C,63.2,56.7,75.4,22.2,17.8,3.4,1.2,3.0,0.8,47.0,57.0,2.6,25
Orlando Magic,ORL,C,59.2,54.5,59.6,25.4,16.6,2.4,0.6,2.0,0.6,55.0,63.0,3.2,26
Boston Celtics,BOS,C,48.7,53.6,56.9,22.7,16.0,3.2,0.8,3.0,0.8,50.0,48.0,4.0,27
Denver Nuggets,DEN,C,55.2,53.0,52.0,25.2,12.0,5.3,0.7,2.8,1.3,42.0,33.0,4.3,28
Philadelphia 76ers,PHI,C,56.5,48.6,51.3,20.5,12.2,4.2,1.0,2.7,0.8,53.0,67.0,2.3,29
Houston Rockets,HOU,C,45.3,48.3,56.8,22.6,13.8,2.2,1.6,1.4,0.8,55.0,79.0,2.4,30
